identifier,date,report,desc,title,for,against,abstention,no_show,excused
169581,2024-09-19 12:39:14,RC-B10-0057/2024,,– After § 27 – Am 2,222,375,8,34,8
169583,2024-09-19 12:39:41,RC-B10-0057/2024,,– Recital C,456,112,38,33,8
169584,2024-09-19 12:39:57,RC-B10-0057/2024,,– After recital C – Am 1,213,383,12,31,8
169585,2024-09-19 12:40:10,RC-B10-0057/2024,,– After recital C – Am 9,185,409,10,35,8
169586,2024-09-19 12:40:22,RC-B10-0057/2024,,– Recital J – Am 6,343,230,29,37,8
169587,2024-09-19 12:40:36,RC-B10-0057/2024,,– After recital J – Am 5,220,365,16,38,8
169588,2024-09-19 12:40:49,RC-B10-0057/2024,,– After recital J – Am 10,181,416,10,32,8
169589,2024-09-19 12:24:58,B10-0023/2024,,– Before § 1 – Am 11,251,322,28,38,8
169590,2024-09-19 12:27:37,RC-B10-0023/2024,,– § 1,318,258,25,38,8
169591,2024-09-19 12:25:55,RC-B10-0023/2024,,– § 1 – Am 2,234,338,42,25,8
169592,2024-09-19 12:28:48,RC-B10-0023/2024,,– § 2,274,311,23,31,8
169594,2024-09-19 12:29:05,RC-B10-0023/2024,,– § 3 – Am 3,132,362,113,32,8
169595,2024-09-19 12:29:54,RC-B10-0023/2024,,– § 6,568,25,21,25,8
169596,2024-09-19 12:30:10,RC-B10-0023/2024,,– § 7,545,9,38,47,8
169597,2024-09-19 12:31:02,RC-B10-0023/2024,,– § 8,554,33,25,27,8
169598,2024-09-19 12:31:14,RC-B10-0023/2024,,– § 9,510,56,43,30,8
169599,2024-09-19 12:31:27,RC-B10-0023/2024,,– § 10,576,3,26,34,8
169600,2024-09-19 12:31:40,RC-B10-0023/2024,,– § 11 – Am 4,293,285,39,22,8
169602,2024-09-19,,,§ 12,,,,639,8
169603,2024-09-19,,,§ 12,,,,639,8
169605,2024-09-19,,,§ 13,,,,639,8
169606,2024-09-19,,,§ 13,,,,639,8
169607,2024-09-19,,,§ 14,299,299,10,639,8
169609,2024-09-19,,,Recital A,,,,639,8
169610,2024-09-19,,,Recital A,,,,639,8
169612,2024-09-19,,,Recital B,,,,639,8
169613,2024-09-19,,,Recital B,,,,639,8
169615,2024-09-19,,,Recital H,,,,639,8
169616,2024-09-19,,,Recital H,,,,639,8
169618,2024-09-19,,,Recital L,,,,639,8
169619,2024-09-19,,,Recital L,,,,639,8
169621,2024-09-19,,,Recital M,,,,639,8
169622,2024-09-19,,,Recital M,273,324,14,639,8
169623,2024-09-19 12:35:49,RC-B10-0023/2024,,– Motion for a resolution (as a whole),309,201,12,117,8
169624,2024-09-19 12:14:05,RC-B10-0028/2024,,– § 1 – Am 4,50,544,18,27,8
169625,2024-09-19 12:14:20,RC-B10-0028/2024,,– § 1,565,33,18,23,8
