identifier,date,report,desc,title,for,against,abstention,no_show,excused
181425,2025-11-13 11:01:56,A10-0223/2025,,Ondřej Knotek - Article 1 – alinéa 1 – point 2; Règlement (UE) 2021/1119 – Article 4 – paragraphe 5 – point g,406,222,8,0,10
181426,2025-11-13 11:02:13,A10-0223/2025,,Ondřej Knotek - Article 1 – alinéa 1 – point 2; Règlement (UE) 2021/1119 – Article 4 – paragraphe 5 – après le point h - Am 66,239,388,12,0,10
181427,2025-11-13 11:02:25,A10-0223/2025,,Ondřej Knotek - Article 1 – alinéa 1 – point 2; Règlement (UE) 2021/1119 – Article 4 – paragraphe 5 – après le point h - Am 67,241,385,12,0,10
181428,2025-11-13,,,Article 1 – § 1 – point 2; Regulation (EU) 2021/1119 – Article 4 – paragraph 5 – point j,,,,613,10
181429,2025-11-13 11:02:43,A10-0223/2025,,Ondřej Knotek - Article 1 – alinéa 1 – point 2; Règlement (UE) 2021/1119 –; Article 4 – paragraphe 5 – après le point j - Am 44,69,529,32,0,10
181430,2025-11-13 11:02:53,A10-0223/2025,,Ondřej Knotek - Article 1 – alinéa 1 – point 2; Règlement (UE) 2021/1119 –; Article 4 – paragraphe 5 – après le point n - Am 45,52,564,12,0,10
181431,2025-11-13 11:03:05,A10-0223/2025,,Ondřej Knotek - Article 1 – alinéa 1 – point 2; Règlement (UE) 2021/1119 –; Article 4 – paragraphe 5 – après le point n - Am 68,211,411,22,0,10
181432,2025-11-13 11:03:16,A10-0223/2025,,Ondřej Knotek - Article 1 – alinéa 1 – après le point 2; Règlement (UE) 2021/1119 – Article 11 - Am 53,161,405,78,0,10
181433,2025-11-13 11:03:25,A10-0223/2025,,Ondřej Knotek - Article 1 – alinéa 1 – après le point 2; Règlement (UE) 2021/1119 – Article 11 - Am 56,211,412,19,0,10
181435,2025-11-13 11:03:37,A10-0223/2025,,Ondřej Knotek - Article 1 – alinéa 1 – après le point 2; Règlement (UE) 2021/1119 –  Article 11 – alinéa 1 – après le point g  - Am 38/1,551,65,25,0,10
181436,2025-11-13 11:03:47,A10-0223/2025,,Ondřej Knotek - Article 1 – alinéa 1 – après le point 2; Règlement (UE) 2021/1119 –  Article 11 – alinéa 1 – après le point g  - Am 38/2,375,242,20,0,10
181437,2025-11-13 11:03:59,A10-0223/2025,,Ondřej Knotek - Considérant 3 - Am 57,231,398,14,0,10
181438,2025-11-13,,,Recital 3,,,,613,10
181439,2025-11-13 11:04:17,A10-0223/2025,,Ondřej Knotek - Après le considérant 3 - Am 55,165,398,80,0,10
181440,2025-11-13,,,Recital 4,,,,613,10
181441,2025-11-13 11:04:35,A10-0223/2025,,Ondřej Knotek - Considérant 6 - Am 60S,220,413,5,0,10
181443,2025-11-13 11:04:47,A10-0223/2025,,Ondřej Knotek - Après le considérant 8 - Am 11/1,494,128,18,0,10
181444,2025-11-13 11:04:58,A10-0223/2025,,Ondřej Knotek - Après le considérant 8 - Am 11/2,376,248,13,0,10
181445,2025-11-13 11:05:11,A10-0223/2025,,Ondřej Knotek - Considérant 9 - Am 48,222,418,4,0,10
181446,2025-11-13 11:06:14,A10-0223/2025,,"Ondřej Knotek - Demande de renvoi (article 60, paragraphe 4, du règlement)",409,221,7,0,10
181447,2025-11-13,,,Article 4 – § 1 – point 9; Article 19 – paragraph 3,,,,613,10
181448,2025-11-13,,,Article 1 – § 1 – after point 1; Regulation (EU) 2021/1119 – after Article 1,284,342,13,613,10
181449,2025-11-13,,,Article 1 – § 1 – point 2; Regulation (EU) 2021/1119 – Article 4 – § 3,248,386,9,613,10
181450,2025-11-13,,,Proposal for a decision,554,60,20,613,10
181452,2025-11-13,,,Proposal for a decision,441,170,22,613,10
181469,2025-11-13,,,Approval without vote,,,,613,10
181470,2025-11-13,,,Approval without vote,,,,613,10
181483,2025-11-27,,,After § 213,,,,618,22
181486,2025-11-27 12:17:35,A10-0226/2025,,"Thijs Reuten, Nina Carberry - Proposition de résolution (ensemble du texte)",490,41,74,13,22
181489,2025-11-26,,,"§ 1, point an",,,,665,21
181490,2025-11-26,,,Recital I,,,,665,21
181491,2025-11-26,,,Recital AQ,,,,665,21
181492,2025-11-26 12:34:56,A10-0229/2025,,Urmas Paet - Proposition de résolution (ensemble du texte),510,75,80,0,21
181506,2025-11-25,,,After recital A,,,,664,21
181511,2025-11-25 12:41:38,A10-0231/2025,,Tineke Strik - Proposition de résolution (ensemble du texte),415,193,28,28,21
181514,2025-11-26,,,After § 18,,,,665,21
181518,2025-11-26,,,§ 25,,,,665,21
181520,2025-11-26 12:39:11,A10-0213/2025,,Christel Schaldemose - Proposition de résolution (ensemble du texte),483,92,86,4,21
181522,2025-11-26 12:30:40,A10-0117/2025,,"Aura Salla, Irene Tinagli - Accord provisoire - Am 2",519,65,73,8,21
181524,2025-11-26,,,Text as a whole,,,,665,21
181525,2025-11-26,,,Article 1 – § 1 – point 24 – after sub§ 1,,,,665,21
181526,2025-11-26,,,Article 1 – § 1 – point 24 – after sub§ 1,,,,665,21
181527,2025-11-26,,,After recital 2,,,,665,21
181528,2025-11-26,,,After recital 2,,,,665,21
181529,2025-11-26,,,After recital 2,,,,665,21
181530,2025-11-26,,,After recital 2,,,,665,21
181531,2025-11-26,,,Commission proposal,,,,665,21
181535,2025-11-25,,,Text as a whole,,,,664,21
181540,2025-11-25,,,Commission proposal,,,,664,21
181542,2025-11-25 12:49:38,A10-0196/2025,,Brando Benifei - Proposition de résolution (ensemble du texte),330,273,38,23,21
181544,2025-11-26 12:41:47,A10-0185/2025,,Jorge Martín Frías - Proposition de résolution (ensemble du texte),360,298,8,0,21
181545,2025-11-27,,,After § 17,309,121,177,618,22
181546,2025-11-27,,,After § 32,,,,618,22
181548,2025-11-27,,,After § 116,321,116,173,618,22
181549,2025-11-27,,,After § 116,,,,618,22
181550,2025-11-27 12:25:39,A10-0211/2025,,Rosa Estaràs Ferragut - Proposition de résolution (ensemble du texte),490,9,109,10,22
181551,2025-11-25 12:51:56,A10-0225/2025,,Arba Kokalari - Proposition de résolution,426,182,39,17,21
181555,2025-11-27,,,"Article 10, § 3",,,,618,22
181556,2025-11-27,,,"Article 10, § 3",,,,618,22
181557,2025-11-27,,,Recital 36,,,,618,22
181558,2025-11-27,,,Recital 36,,,,618,22
181559,2025-11-27 12:09:23,A10-0208/2025,,Adina Vălean - Proposition de la Commission,392,88,133,5,22
181560,2025-11-27,,,Request for referral back (Rule 60(4)),,,,618,22
181561,2025-11-27 12:06:41,A10-0209/2025,,Adina Vălean - Proposition de la Commission et amendement,400,77,132,9,22
181562,2025-11-27,,,Request for referral back (Rule 60(4)),,,,618,22
181563,2025-11-26 12:31:03,A10-0222/2025,,Aurore Lalucq - Projet de règlement du Conseil,521,110,35,0,21
181564,2025-11-25 12:42:26,A10-0234/2025,,"Alexander Bernhuber, Anna Strolenberg - Proposition de résolution (ensemble du texte)",590,28,32,14,21
181566,2025-11-27 12:27:37,A10-0224/2025,,Marieke Ehlers - Proposition de résolution (ensemble du texte),337,245,12,24,22
181587,2025-11-25 12:29:35,A10-0084/2025,,"Raphaël Glucksmann, François-Xavier Bellamy - Accord provisoire - Am 2",457,148,33,26,21
181589,2025-11-25,,,Parliament and Council statement,,,,664,21
181590,2025-11-25,,,"Parliament, Council and Commission statements",,,,664,21
181591,2025-11-25,,,"Parliament, Council and Commission statements",,,,664,21
181593,2025-11-25,,,Text as a whole,,,,664,21
181598,2025-11-25,,,Commission proposal,,,,664,21
181609,2025-11-25,,,After Article 1,,,,664,21
181610,2025-11-25,,,Article 6 – § 1 – point a,,,,664,21
181611,2025-11-25,,,Article 6 – § 1 – after point h,,,,664,21
181612,2025-11-25,,,After Article 8,,,,664,21
181613,2025-11-25,,,§ 4,,,,664,21
181615,2025-11-25,,,§ 18,395,199,55,664,21
181616,2025-11-25,,,§ 28,,,,664,21
181617,2025-11-25 12:58:08,A10-0212/2025,,Marit Maij - Proposition de résolution (ensemble du texte),389,213,36,26,21
181621,2025-11-26,B10-0506/2025,,Recital A,388,211,33,665,21
181622,2025-11-26,B10-0506/2025,,After recital A,,,,665,21
181623,2025-11-26,B10-0506/2025,,After recital A,,,,665,21
181624,2025-11-26,B10-0506/2025,,After recital A,,,,665,21
181625,2025-11-26,B10-0506/2025,,Recital B,291,316,33,665,21
181626,2025-11-26,B10-0506/2025,,After recital B,,,,665,21
181627,2025-11-26,B10-0506/2025,,After recital C,,,,665,21
181628,2025-11-26,B10-0506/2025,,Recital D,382,225,24,665,21
181631,2025-11-25,,,§ 12,,,,664,21
181632,2025-11-25,,,§ 12,,,,664,21
181633,2025-11-26 12:08:59,A10-0235/2025,,"Andrzej Halicki, Matjaž Nemec - Projet commun",419,185,53,8,21
181634,2025-11-25 12:44:46,A10-0196/2025,,Brando Benifei - Proposition de résolution de remplacement - Am 1,192,443,10,19,21
181636,2025-11-25 12:45:03,A10-0196/2025,,Brando Benifei - § 2/1,443,171,37,13,21
181637,2025-11-25 12:45:16,A10-0196/2025,,Brando Benifei - § 2/2,334,278,28,24,21
181639,2025-11-25 12:45:33,A10-0196/2025,,Brando Benifei - § 8/1,422,189,37,16,21
181640,2025-11-25 12:45:49,A10-0196/2025,,Brando Benifei - § 8/2,320,291,29,24,21
181642,2025-11-25 12:46:07,A10-0196/2025,,Brando Benifei - § 9/1,388,221,27,28,21
181643,2025-11-25 12:46:22,A10-0196/2025,,Brando Benifei - § 9/2,315,291,45,13,21
181644,2025-11-25 12:46:38,A10-0196/2025,,Brando Benifei - § 10,309,302,36,17,21
181646,2025-11-25 12:46:54,A10-0196/2025,,Brando Benifei - § 12/1,385,226,35,18,21
181647,2025-11-25 12:47:09,A10-0196/2025,,Brando Benifei - § 12/2,393,211,45,15,21
181649,2025-11-25 12:47:25,A10-0196/2025,,Brando Benifei - § 22/1,463,162,24,15,21
181650,2025-11-25 12:47:38,A10-0196/2025,,Brando Benifei - § 22/2,322,289,30,23,21
181651,2025-11-25 12:47:53,A10-0196/2025,,Brando Benifei - Visa 10,340,269,34,21,21
181652,2025-11-25 12:48:06,A10-0196/2025,,Brando Benifei - Visa 11,320,280,47,17,21
181654,2025-11-25 12:48:23,A10-0196/2025,,Brando Benifei - Considérant J/1,411,202,23,28,21
181655,2025-11-25 12:48:36,A10-0196/2025,,Brando Benifei - Considérant J/2,366,245,30,23,21
181656,2025-11-25 12:48:51,A10-0196/2025,,Brando Benifei - Considérant K,329,277,41,17,21
181658,2025-11-25 12:49:05,A10-0196/2025,,Brando Benifei - Considérant M/1,551,58,39,16,21
181659,2025-11-25 12:49:19,A10-0196/2025,,Brando Benifei - Considérant M/2,378,217,55,14,21
181660,2025-11-25 12:31:15,A10-0231/2025,,Tineke Strik - Proposition de résolution de remplacement - Am 1,184,441,15,24,21
181661,2025-11-25 12:31:30,A10-0231/2025,,Tineke Strik - Après le § 1 - Am 8,186,447,11,20,21
181662,2025-11-25 12:31:44,A10-0231/2025,,Tineke Strik - § 2 - Am 9,184,450,10,20,21
181663,2025-11-25 12:32:01,A10-0231/2025,,Tineke Strik - § 2,408,213,23,20,21
181664,2025-11-25 12:32:15,A10-0231/2025,,Tineke Strik - Après le § 2 - Am 10,182,446,15,21,21
181665,2025-11-25 12:32:31,A10-0231/2025,,Tineke Strik - § 4 - Am 11,191,443,9,21,21
181666,2025-11-25 12:32:47,A10-0231/2025,,Tineke Strik - § 4,422,199,24,19,21
181667,2025-11-25 12:33:02,A10-0231/2025,,Tineke Strik - § 7 - Am 12,151,443,49,21,21
181668,2025-11-25 12:33:18,A10-0231/2025,,Tineke Strik - § 9 - Am 2,225,415,10,14,21
181669,2025-11-25 12:33:32,A10-0231/2025,,Tineke Strik - § 10 - Am 13,171,445,27,21,21
181670,2025-11-25 12:33:47,A10-0231/2025,,Tineke Strik - § 12 - Am 14,194,439,8,23,21
181671,2025-11-25 12:34:01,A10-0231/2025,,Tineke Strik - § 13 - Am 15,187,444,12,21,21
181672,2025-11-25 12:34:15,A10-0231/2025,,Tineke Strik - § 13,425,171,46,22,21
181673,2025-11-25 12:34:30,A10-0231/2025,,Tineke Strik - § 19,445,188,11,20,21
181674,2025-11-25 12:34:45,A10-0231/2025,,Tineke Strik - § 22,453,168,22,21,21
181675,2025-11-25,,,After § 22,,,,664,21
181676,2025-11-25 12:35:07,A10-0231/2025,,Tineke Strik - § 24 - Am 16,177,451,15,21,21
181677,2025-11-25 12:35:23,A10-0231/2025,,Tineke Strik - § 24,421,203,20,20,21
181679,2025-11-25 12:35:42,A10-0231/2025,,Tineke Strik - § 27/1,418,183,29,34,21
181680,2025-11-25 12:35:57,A10-0231/2025,,Tineke Strik - § 27/2,411,209,10,34,21
181681,2025-11-25 12:36:12,A10-0231/2025,,Tineke Strik - § 28 - Am 17,163,450,31,20,21
181682,2025-11-25 12:36:28,A10-0231/2025,,Tineke Strik - § 28,432,190,22,20,21
181683,2025-11-25 12:36:49,A10-0231/2025,,Tineke Strik - Considérant E - Am 4,183,441,17,23,21
181684,2025-11-25 12:37:02,A10-0231/2025,,Tineke Strik - Après le considérant H - Am 6,182,447,13,22,21
181685,2025-11-25 12:37:15,A10-0231/2025,,Tineke Strik - Après le considérant J - Am 7,144,481,17,22,21
181686,2025-11-25 12:37:31,A10-0231/2025,,Tineke Strik - Considérant AK,440,175,22,27,21
181687,2025-11-25 12:37:45,A10-0231/2025,,Tineke Strik - Considérant AP,472,130,34,28,21
181689,2025-11-25 12:38:03,A10-0231/2025,,Tineke Strik - Considérant BD/1,419,180,30,35,21
181690,2025-11-25 12:38:16,A10-0231/2025,,Tineke Strik - Considérant BD/2,416,202,12,34,21
181692,2025-11-25 12:38:31,A10-0231/2025,,Tineke Strik - Considérant BE/1,421,178,33,32,21
181693,2025-11-25 12:38:45,A10-0231/2025,,Tineke Strik - Considérant BE/2,408,209,11,36,21
181694,2025-11-25 12:38:59,A10-0231/2025,,Tineke Strik - Considérant BE/3,411,207,14,32,21
181695,2025-11-25 12:39:13,A10-0231/2025,,Tineke Strik - Considérant BF,422,180,32,30,21
181696,2025-11-25 12:39:29,A10-0231/2025,,Tineke Strik - Considérant BG,418,158,55,33,21
181698,2025-11-25 12:39:46,A10-0231/2025,,Tineke Strik - Considérant BH/1,420,188,24,32,21
181699,2025-11-25 12:40:01,A10-0231/2025,,Tineke Strik - Considérant BH/2,417,199,14,34,21
181700,2025-11-25 12:40:15,A10-0231/2025,,Tineke Strik - Considérant BI,418,160,51,35,21
181702,2025-11-25 12:40:31,A10-0231/2025,,Tineke Strik - Considérant BJ/1,413,189,32,30,21
181703,2025-11-25 12:40:44,A10-0231/2025,,Tineke Strik - Considérant BJ/2,410,190,29,35,21
181704,2025-11-25 12:40:58,A10-0231/2025,,Tineke Strik - Considérant BK,418,190,26,30,21
181705,2025-11-25 12:41:15,A10-0231/2025,,Tineke Strik - Considérant BP,429,188,21,26,21
181706,2025-11-25,,,Nomination of Daniel Caspary,411,206,25,664,21
181708,2025-11-26,,,Motion for a resolution (as a whole),236,392,34,665,21
181710,2025-11-26,,,Motion for a resolution,,,,665,21
181718,2025-11-26,,,Article 1 – point 1 – point b; Article 2 – point b – point 15a,389,273,3,665,21
181722,2025-11-26,,,Article 1 – point 5; Article 4a – § 1,,,,665,21
181723,2025-11-26,,,Article 1 – point 5; Article 4a – § 2,,,,665,21
181724,2025-11-26,,,Article 1 – point 5; Article 4a – § 3,400,257,8,665,21
181725,2025-11-26,,,Article 1 – point 5; Article 4a – § 3,,,,665,21
181726,2025-11-26,,,Article 1 – point 5; Article 4a – § 4,,,,665,21
181727,2025-11-26,,,Article 1 – point 5; Article 4a – § 5,,,,665,21
181728,2025-11-26,,,Article 1 – point 6; Article 5 – § 1,,,,665,21
181735,2025-11-26,,,Article 1 – point 15; Article 25 – point a – § 1,,,,665,21
181741,2025-11-26,,,Article 1 – point 21; Article 34 – after § 1,,,,665,21
181746,2025-11-26,,,Article 1 – point 21; Article 34 – after § 2,411,233,23,665,21
181747,2025-11-26,,,Article 1 – point 22; Article 37 – § 1,,,,665,21
181748,2025-11-26,,,Article 1 – point 22; Article 37 – § 1,,,,665,21
181749,2025-11-26,,,Article 1 – point 22; Article 37 – § 2,390,263,9,665,21
181750,2025-11-26,,,Article 1 – point 22; Article 37 – § 2,,,,665,21
181752,2025-11-26,,,Article 1 – point 22; Article 37 – § 3,,,,665,21
181753,2025-11-26,,,Article 1 – point 22; Article 37 – § 3,,,,665,21
181757,2025-11-26,,,Article 1 – point 23; Article 38 – § 2,,,,665,21
181759,2025-11-26,,,Article 1 – point 23; Article 38 – § 2,,,,665,21
181760,2025-11-26,,,Article 1 – point 23; Article 38 – after § 2,351,308,4,665,21
181764,2025-11-26,,,Article 1 – point 23; Article 38 – § 3,,,,665,21
181767,2025-11-26,,,Article 1 – point 23; Article 38 – § 3,,,,665,21
181769,2025-11-26,,,Article 1 – point 23; Article 38 – § 4,,,,665,21
181771,2025-11-26,,,Article 1 – point 23; Article 38 – § 5,,,,665,21
181773,2025-11-26,,,Article 1 – point 23; Article 38 – § 5,,,,665,21
181774,2025-11-26,,,Article 1 – point 23; Article 38 – § 5,364,286,10,665,21
181775,2025-11-26,,,Article 1 – point 23; Article 38 – § 5,160,500,4,665,21
181777,2025-11-26,,,"Article 1, after point 23",449,202,7,665,21
181780,2025-11-26,,,Annex II; Annexe III – § 2,,,,665,21
181781,2025-11-26,,,Annex II; Annexe III – § 3,,,,665,21
181784,2025-11-26,,,Recital 6,,,,665,21
181785,2025-11-26,,,Recital 7,,,,665,21
181786,2025-11-26,,,After recital 8,338,318,5,665,21
181787,2025-11-26,,,After recital 8,,,,665,21
181789,2025-11-26,,,Recital 11,385,276,2,665,21
181790,2025-11-26,,,After recital 12,394,266,3,665,21
181791,2025-11-26,,,After recital 12,,,,665,21
181792,2025-11-26,,,After recital 12,410,252,4,665,21
181794,2025-11-26,,,After recital 12,,,,665,21
181795,2025-11-26,,,After recital 12,,,,665,21
181797,2025-11-26,,,Recital 13,375,284,7,665,21
181801,2025-11-26,,,Recital 13,,,,665,21
181802,2025-11-26,,,Recital 13,,,,665,21
181804,2025-11-26,,,Recital 14,,,,665,21
181805,2025-11-26,,,Recital 15,,,,665,21
181807,2025-11-26,,,Recital 16,262,397,4,665,21
181808,2025-11-26,,,Recital 16,389,274,1,665,21
181812,2025-11-26,,,After recital 19,,,,665,21
181813,2025-11-26 12:29:21,C10-0263/2025,,Proposition de la Commission,402,250,8,5,21
181825,2025-11-24 17:12:08,Ordre du jour de mercredi,,"Demande des groupes PPE, S&D, Renew, Verts/ALE et ECR",424,0,14,167,25
181826,2025-11-24 17:12:34,Ordre du jour de mercredi,,"Demande des groupes PPE, S&D, Renew et Verts/ALE",301,103,33,168,25
181827,2025-11-24 17:15:20,Ordre du jour de mercredi,,Demande du groupe The Left,173,244,16,172,25
181828,2025-11-25 12:24:41,COM(2023)0232,,Décision du maintien du recours,334,294,11,25,21
181829,2025-11-25 12:58:40,B10-0489/2025,,Proposition de résolution,453,171,19,21,21
181830,2025-11-25 12:59:30,B10-0490/2025,,Proposition de résolution,456,166,21,21,21
181831,2025-11-25 13:00:29,B10-0491/2025,,Proposition de résolution,426,157,17,64,21
181832,2025-11-25 12:59:09,B10-0492/2025,,Proposition de résolution,452,182,13,17,21
181833,2025-11-25 12:59:53,B10-0493/2025,,Proposition de résolution,453,179,14,18,21
181835,2025-11-25 12:54:33,A10-0212/2025,,Marit Maij - Après le § 4 - Am 4,210,405,30,19,21
181837,2025-11-25,,,§ 29,,,,664,21
181838,2025-11-25,,,§ 29,272,363,8,664,21
181840,2025-11-25,,,§ 31,,,,664,21
181841,2025-11-25,,,§ 31,289,325,27,664,21
181843,2025-11-25,,,§ 32,,,,664,21
181844,2025-11-25,,,§ 32,,,,664,21
181846,2025-11-25,,,§ 37,,,,664,21
181847,2025-11-25,,,§ 37,375,181,77,664,21
181849,2025-11-25,,,§ 39,,,,664,21
181850,2025-11-25,,,§ 39,,,,664,21
181852,2025-11-26 12:31:26,A10-0229/2025,,"Urmas Paet - § 1, point a/1",627,5,26,7,21
181853,2025-11-26 12:31:38,A10-0229/2025,,"Urmas Paet - § 1, point a/2",523,43,85,14,21
181855,2025-11-26,,,"§ 1, point c",,,,665,21
181856,2025-11-26 12:31:55,A10-0229/2025,,"Urmas Paet - § 1, point c/2",509,109,41,6,21
181857,2025-11-26 12:32:08,A10-0229/2025,,"Urmas Paet - § 1, point e",532,85,46,2,21
181858,2025-11-26 12:32:22,A10-0229/2025,,"Urmas Paet - § 1, point g",538,75,44,8,21
181859,2025-11-26 12:32:35,A10-0229/2025,,"Urmas Paet - § 1, après le point e - Am 3",89,523,44,9,21
181860,2025-11-26 12:32:48,A10-0229/2025,,"Urmas Paet - § 1, après le point o - Am 4",131,477,57,0,21
181861,2025-11-26,,,"§ 1, point ab",,,,665,21
181863,2025-11-26 12:33:08,A10-0229/2025,,"Urmas Paet - § 1, point ad/1",563,73,24,5,21
181864,2025-11-26 12:33:19,A10-0229/2025,,"Urmas Paet - § 1, point ad/2",481,113,67,4,21
181865,2025-11-26 12:33:34,A10-0229/2025,,"Urmas Paet - § 1, point ad/3",504,88,64,9,21
181867,2025-11-26,,,"§ 1, point ag",,,,665,21
181868,2025-11-26 12:33:51,A10-0229/2025,,"Urmas Paet - § 1, point ag/2",518,109,32,6,21
181869,2025-11-26,,,"§ 1, point aq",,,,665,21
181871,2025-11-26,,,Recital J,,,,665,21
181872,2025-11-26,,,Recital J,,,,665,21
181874,2025-11-26,,,Recital L,,,,665,21
181875,2025-11-26 12:34:31,A10-0229/2025,,Urmas Paet - Considérant L/2,452,201,11,1,21
181877,2025-11-26,,,Recital AA,,,,665,21
181878,2025-11-26,,,Recital AA,,,,665,21
181879,2025-11-25 12:28:54,A10-0084/2025,,"Raphaël Glucksmann, François-Xavier Bellamy - Proposition de rejet - Am 9",116,490,43,15,21
181880,2025-11-25 12:29:19,A10-0084/2025,,"Raphaël Glucksmann, François-Xavier Bellamy - Demande de procéder au vote sur les amendements",87,542,15,20,21
181881,2025-11-25,,,Article 54 (corresponds to Article 70 in Amendment 2),,,,664,21
181882,2025-11-25,,,Article 54 (corresponds to Article 70 in Amendment 2),,,,664,21
181883,2025-11-25,,,"After Article 54 (corresponds to Article 71, § 1 in Amendment 2)",,,,664,21
181884,2025-11-25,,,"After Article 54 (corresponds to Article 71, § 1 in Amendment 2)",,,,664,21
181885,2025-11-26 12:12:36,C10-0263/2025,,Proposition de rejet-Am 1= 37=,134,526,6,0,21
181886,2025-11-26 12:12:50,C10-0263/2025,,Article 1-avant le point 1; Considérant 68-Am 7,209,452,3,1,21
181887,2025-11-26 12:13:20,C10-0263/2025,,Article 1-point 2; Article 3-point c-Am 8,208,453,3,1,21
181888,2025-11-26 12:13:33,C10-0263/2025,,Article 1-point 4-point c; Article 4-§ 7-Am 32,194,461,7,3,21
181889,2025-11-26 12:13:46,C10-0263/2025,,Article 1-point 4-après le point c; Article 4-après le § 7-Am 9,202,456,2,5,21
181890,2025-11-26 12:14:45,C10-0263/2025,,Article 1-point 6; Article 5-après le § 1-Am 10,210,454,2,0,21
181891,2025-11-26 12:14:59,C10-0263/2025,,Article 1-point 6; Article 5-§ 3-point a-Am 33,205,438,12,10,21
181892,2025-11-26 12:15:12,C10-0263/2025,,Article 1-point 6; Article 5-§ 3-point a-Am 50= 80= 120=,563,43,59,0,21
181893,2025-11-26 12:15:26,C10-0263/2025,,Article 1-point 6; Article 5-§ 5-Am 34S= 49S= 81S= 121S=,561,46,58,0,21
181894,2025-11-26 12:15:38,C10-0263/2025,,Article 1-point 6; Article 5-§ 6-Am 35,197,456,8,4,21
181895,2025-11-26 12:15:51,C10-0263/2025,,Article 1-point 6; Article 5-§ 7-Am 36,198,454,6,7,21
181896,2025-11-26 12:16:10,C10-0263/2025,,Article 1-point 16; Article 26-§ 4-Am 82= 122=,556,102,9,0,21
181897,2025-11-26 12:16:24,C10-0263/2025,,Article 1-après le point 18; Article 29-Am 11,202,449,4,10,21
181898,2025-11-26 12:16:38,C10-0263/2025,,Article 1-point 21; Article 34-après le § 1-Am 30,196,446,11,12,21
181899,2025-11-26 12:16:51,C10-0263/2025,,Article 1-point 21; Article 34-après le § 1-Am 12,199,455,2,9,21
181900,2025-11-26 12:17:11,C10-0263/2025,,Article 1-point 21; Article 34-après le § 1-Am 62= 123=,394,259,13,0,21
181901,2025-11-26 12:17:26,C10-0263/2025,,Article 1-point 21; Article 34-§ 2-point c-Am 13S,204,454,3,4,21
181902,2025-11-26 12:17:39,C10-0263/2025,,Article 1-point 21; Article 34-§ 2-point h-Am 14S,201,453,3,8,21
181903,2025-11-26 12:17:51,C10-0263/2025,,Article 1-point 21; Article 34-§ 2-point i-Am 15,198,446,3,18,21
181904,2025-11-26 12:18:54,C10-0263/2025,,Article 1-point 23; Article 38-§ 2-Am 24,200,461,2,2,21
181905,2025-11-26 12:19:07,C10-0263/2025,,Article 1-point 23; Article 38-§ 2-Am 25,202,451,9,3,21
181907,2025-11-26,,,Article 1 – point 23; Article 38 – § 2,,,,665,21
181908,2025-11-26 12:20:03,C10-0263/2025,,Article 1-point 23; Article 38-§ 3-Am 26S,101,561,3,0,21
181909,2025-11-26 12:20:18,C10-0263/2025,,Article 1-point 23; Article 38-§ 3-Am 64= 129=,442,216,3,4,21
181910,2025-11-26,,,Article 1 – point 23; Article 38 – § 3,,,,665,21
181911,2025-11-26 12:20:37,C10-0263/2025,,Article 1-point 23; Article 38-§ 4-Am 27S= 89S= 130S=,497,152,11,5,21
181912,2025-11-26 12:20:52,C10-0263/2025,,Article 1-point 23; Article 38-§ 5-Am 28S= 90S= 131S=,417,232,10,6,21
181913,2025-11-26 12:21:49,C10-0263/2025,,"Article 1, après le point 23-Am 20",193,451,9,12,21
181914,2025-11-26 12:22:24,C10-0263/2025,,Annexe II; Annexe III-partie introductive-Am 60= 91= 132=,565,92,7,1,21
181915,2025-11-26 12:22:38,C10-0263/2025,,Annexe II; Annexe III-§ 2-Am 92= 133=,564,97,4,0,21
181916,2025-11-26 12:25:00,C10-0263/2025,,Après le considérant 1-Am 38,228,252,177,8,21
181917,2025-11-26 12:25:16,C10-0263/2025,,Considérant 6-Am 31,197,451,11,6,21
181918,2025-11-26,,,After recital 12,,,,665,21
181919,2025-11-26 12:27:01,C10-0263/2025,,Après le considérant 12-Am 29,201,451,7,6,21
181920,2025-11-26,,,Recital 13,,,,665,21
181921,2025-11-26,,,Recital 13,,,,665,21
181922,2025-11-26 12:27:37,C10-0263/2025,,Considérant 14-Am 109S= 23S=,295,357,9,4,21
181923,2025-11-26 12:28:40,C10-0263/2025,,Après le considérant 17-Am 5,205,449,4,7,21
181924,2025-11-26 12:28:54,C10-0263/2025,,Après le considérant 17-Am 6,197,458,5,5,21
181925,2025-11-26 12:35:16,A10-0213/2025,,Christel Schaldemose - Après le § 1 - Am 1,178,448,19,20,21
181926,2025-11-26 12:35:28,A10-0213/2025,,Christel Schaldemose - § 16,632,26,5,2,21
181927,2025-11-26 12:35:42,A10-0213/2025,,Christel Schaldemose - § 17 - Am 4,202,441,10,12,21
181929,2025-11-26 12:35:58,A10-0213/2025,,Christel Schaldemose - § 17/1,416,152,92,5,21
181930,2025-11-26,,,§ 17,,,,665,21
181931,2025-11-26 12:36:15,A10-0213/2025,,Christel Schaldemose - § 18,628,25,12,0,21
181932,2025-11-26 12:36:34,A10-0213/2025,,Christel Schaldemose - § 20 - Am 5,216,426,17,6,21
181933,2025-11-26 12:36:49,A10-0213/2025,,Christel Schaldemose - § 23 - Am 6,196,445,10,14,21
181935,2025-11-26,,,§ 23,,,,665,21
181936,2025-11-26,,,§ 23,,,,665,21
181937,2025-11-26 12:37:10,A10-0213/2025,,Christel Schaldemose - § 24 - Am 7,200,439,15,11,21
