mepid,mep,group,voted
6739,Kohn,S&D,3166
5039,Konečná,GUE/NGL,6660
6517,Korwin-Mikke,NI,4731
6713,Kouloglou,GUE/NGL,6915
6495,Kouroumbashev,S&D,3551
6196,Kovatchev,PPE,7750
6203,Kovács,NI,5491
6527,Kozłowska-Rajewicz,PPE,7604
6530,Krasnodębski,ECR,7628
3761,Krehl,S&D,7146
5453,Krupa,ECR,4776
5403,Kudrycka,PPE,7580
5940,Kuhn,PPE,7118
5840,Kukan,PPE,7687
6367,Kumpula-Natri,S&D,7347
6675,Kuneva,GUE/NGL,6202
5507,Kuźmiuk,ECR,7911
6435,Kyenge,S&D,6808
6369,Kyllönen,GUE/NGL,7945
6689,Kyrkos,S&D,7519
6662,Kyrtsos,PPE,6668
6504,Kyuchyuk,ALDE,7286
6001,Kósa,PPE,6735
6461,Kölmel,ECR,7309
6459,Köster,S&D,7187
6053,Köstinger,PPE,5060
6726,Kłosowski,ECR,5862
5988,La Via,PPE,7748
6740,Lalonde,ALDE,2109
1350,Lamassoure,PPE,7827
4935,Lambert,Verts/ALE,7611
5838,Lamberts,Verts/ALE,7360
5362,Lambsdorff,ALDE,3885
6771,Lancini,ENF,2140
6393,Landsbergis,PPE,2693
3823,Lange,S&D,7377
3856,Langen,PPE,7486
6329,Lauristin,S&D,4737
6363,Lavrilleux,PPE,8148
6200,Le Grip,PPE,4650
5909,Le Hyaric,GUE/NGL,7004
1529,Le Pen,NI,481
DUPLICATE,Le Pen,NI,1
1529,Le Pen Jean-Marie,NI,1811
5332,Le Pen Marine,NI,3879
6372,Lebreton,ENF,7807
6746,Lechevalier,ENF,2865
5969,Legutko,ECR,5755
5371,Leichtfried,S&D,835
4685,Leinen,S&D,6723
6592,Lenaers,PPE,7813
5809,Leontini,PPE,1755
5105,Lewandowski,PPE,7502
6561,Lewer,ECR,4258
5094,Liberadzki,S&D,7164
3855,Liese,PPE,7050
6477,Lietz,S&D,7535
6442,Lins,PPE,7693
5902,Lochbihler,Verts/ALE,7364
6699,Loiseau,ENF,7676
6704,Loones,ECR,5676
5938,Lope Fontagné,PPE,6185
6788,Loskutovs,PPE,414
6457,Lucke,ECR,7601
5860,Ludvigsson,S&D,8003
6149,Lunacek,Verts/ALE,4827
6608,Lundgren,ECR,7251
6648,López,S&D,6962
5984,López Aguilar,S&D,7009
6653,López Bermejo,GUE/NGL,7215
6648,López Javi,S&D,4
6653,López Paloma,GUE/NGL,5
5517,López-Istúriz White,PPE,7520
6026,Lösing,GUE/NGL,6993
5862,Lövin,Verts/ALE,5
5889,Løkkegaard,ALDE,4656
6448,Mach,EFDD,4479
5996,Macovei,ECR,7698
6633,Maeijer,ENF,3656
6303,Maletić,PPE,7743
6245,Malinov,PPE,8018
6692,Maltese,GUE/NGL,6012
6380,Mamikins,S&D,7855
6761,Mandl,PPE,2975
3845,Mann,PPE,7902
6355,Manscour,S&D,6844
6550,Maragall,Verts/ALE,4339
6732,Marcellesi,Verts/ALE,3726
6667,Marias,ECR,7657
5646,Marinescu,PPE,7737
6376,Marinho e Pinto,ALDE,7771
1133,Martin David,S&D,7484
6385,Martin Dominique,ENF,7713
6565,Martin Edouard,S&D,7937
6465,Martusciello,PPE,6827
6533,Marusik,ENF,6711
5985,Matera,PPE,5152
5992,Matias,GUE/NGL,7614
6096,Mato,PPE,7034
6742,Matthews,ECR,2501
6721,Maullu,ECR,5402
6645,Maura Barandiarán,ALDE,2044
6354,Maurel,GUE/NGL,7380
6322,Mavrides,S&D,7040
6483,Maydell,PPE,3605
6627,Mayer,ENF,3701
6737,Mayer Alex,S&D,3735
6627,Mayer Georg,ENF,4028
6402,Mazuronis,ALDE,7380
5314,Maňka,S&D,8106
5044,Maštálka,GUE/NGL,5274
6440,McAllister,PPE,7116
4646,McAvan,S&D,6929
6087,McClarkin,ECR,6093
5245,McGuinness,PPE,7105
6234,McIntyre,ECR,7348
6041,Meissner,ALDE,7692
6476,Melior,S&D,7742
6121,Melo,PPE,6729
5851,Messerschmidt,ECR,5703
6349,Meszerics,Verts/ALE,5587
6297,Metsola,PPE,7757
6776,Metz,Verts/ALE,1875
6759,Meuthen,EFDD,2945
5857,Michel,ALDE,7633
6310,Michels,GUE/NGL,6835
6690,Mihaylova,ALDE,7115
5308,Mikolášik,PPE,7767
5518,Millán Mon,PPE,7707
6643,Mineur,GUE/NGL,6977
6251,Miranda,Verts/ALE,2204
6767,Mitrofanovs,Verts/ALE,2403
6296,Mizzi,S&D,7389
6631,Mlinar,ALDE,7289
6752,Mobarik,ECR,2675
6497,Moi,EFDD,7525
6423,Moisă,PPE,6832
6351,Molnár,S&D,7312
6395,Monot,EFDD,7296
6366,Monteiro de Aguiar,PPE,5279
6403,Montel,NI,7514
6562,Moody,S&D,7078
4923,Moraes,S&D,6994
6368,Morano,PPE,7615
6433,Moretti,S&D,147
6422,Morgano,S&D,7811
5732,Morin-Chartier,PPE,8063
5849,Morvai,NI,3775
6506,Mosca,S&D,5626
6436,Mureşan,PPE,7286
6436,Mureșan,PPE,579
6361,Muselier,PPE,4809
5547,Mussolini,PPE,5339
5916,Mélenchon,GUE/NGL,4172
6399,Mélin,ENF,7092
6500,Müller,ALDE,7396
5774,Mănescu,PPE,6128
6760,Nagtegaal,ALDE,2962
6544,Nagy,PPE,7767
6614,Nart,ALDE,6702
6691,Negrescu,S&D,4768
6618,Nekov,S&D,7591
6016,Neuser,S&D,7665
3899,Neyts-Uyttebroeck,ALDE,116
6418,Nica,S&D,6591
1230,Nicholson,ECR,6959
5997,Nicolai,ALDE,7213
4712,Niebler,PPE,7580
6332,Niedermayer,PPE,7648
6352,Niedermüller,S&D,7501
6242,Nilsson,S&D,4704
6473,Noichl,S&D,7509
6709,Novakov,PPE,7390
5977,Nuttall,EFDD,3793
6599,Ní Riada,GUE/NGL,5920
6557,O'Flynn,EFDD,6537
6123,Obermayr,ENF,7602
5407,Olbrycht,PPE,7508
6250,Omarjee,GUE/NGL,7185
6536,Ożóg,ECR,7435
6377,Pabriks,PPE,5902
6782,Packet,ECR,1199
6156,Padar,S&D,2384
6705,Paet,ALDE,6968
6644,Pagazaurtundúa Ruiz,ALDE,7639
5875,Paksas,EFDD,6751
6756,Palmer,S&D,2726
5483,Panzeri,S&D,7581
6487,Paolucci,S&D,6914
6323,Papadakis Demetris,S&D,6383
6676,Papadakis Konstantinos,NI,6283
5596,Papadimoulis,GUE/NGL,7267
6103,Pargneaux,S&D,7613
6563,Parker,EFDD,6116
5702,Patriciello,PPE,4885
4693,Paulsen,ALDE,1348
6483,Paunova,PPE,3615
6707,Pavel,S&D,7025
6754,Payne,EFDD,2867
5648,Paşcu,S&D,6440
5648,Pașcu,S&D,542
6482,Pedicini,EFDD,8031
5296,Peillon,S&D,7478
5033,Peterle,PPE,7129
6510,Petersen,ALDE,7301
6383,Petir,PPE,7858
6474,Philippot,EFDD,6247
6484,Picierno,S&D,5482
6261,Picula,S&D,7150
6512,Piecha,ECR,7706
5346,Pieper,PPE,7831
5788,Pietikäinen,PPE,6639
6727,Pimenta Lopes,GUE/NGL,5170
5460,Piotrowski,ECR,8073
6625,Piri,S&D,6936
6493,Pirinski,S&D,7234
6537,Pitera,PPE,7795
4851,Pittella,S&D,4443
6268,Plenković,PPE,3237
6519,Plura,PPE,7251
5894,Poc,S&D,7778
6330,Poche,S&D,7029
6491,Pogliese,PPE,5431
6335,Polčák,PPE,7937
6092,Ponga,PPE,4984
6753,Popa,S&D,2711
5974,Poręba,ECR,6946
6700,Pospíšil,PPE,7039
6609,Post,S&D,7461
6010,Preda,PPE,8145
6467,Pretzell,ENF,6983
6526,Preuß,S&D,7784
6736,Procter,ECR,3783
6224,Proust,PPE,7609
6728,Punset,ALDE,3982
1487,Quisthoudt-Rowohl,PPE,5531
6488,Radev,PPE,6614
6266,Radoš,ALDE,7502
6750,Radtke,PPE,3023
6072,Rangel,PPE,6692
5046,Ransdorf,GUE/NGL,1844
6426,Rebega,ECR,6452
6453,Reda,Verts/ALE,8017
1335,Reding,PPE,5338
6136,Regner,S&D,7953
4544,Rehn,ALDE,138
6564,Reid,EFDD,6773
6552,Reimon,Verts/ALE,7783
6529,Reintke,Verts/ALE,7718
5347,Reul,PPE,4979
