date,code,reference,name,baseurl,extensions
2017-10-03,VOT,P8_PV-PROV(2017)10-03(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-03/pv_provisoire/P8_PV-PROV(2017)10-03(VOT)_EN,pdf|xml|docx
2017-09-14,VOT,P8_PV-PROV(2017)09-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-14/pv_provisoire/P8_PV-PROV(2017)09-14(VOT)_EN,pdf|xml|docx
2017-07-04,VOT,P8_PV(2017)07-04(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-04/liste_presence/P8_PV(2017)07-04(VOT)_EN,docx
2017-06-15,VOT,P8_PV(2017)06-15(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-15/liste_presence/P8_PV(2017)06-15(VOT)_EN,pdf|xml|docx
2017-06-14,VOT,P8_PV(2017)06-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-14/liste_presence/P8_PV(2017)06-14(VOT)_EN,pdf|xml|docx
2017-06-13,VOT,P8_PV(2017)06-13(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-13/liste_presence/P8_PV(2017)06-13(VOT)_EN,pdf|xml|docx
2017-06-01,VOT,P8_PV(2017)06-01(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-01/liste_presence/P8_PV(2017)06-01(VOT)_EN,xml|docx
2017-09-13,VOT,P8_PV-PROV(2017)09-13(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-13/pv_provisoire/P8_PV-PROV(2017)09-13(VOT)_EN,pdf|xml|docx
2017-09-12,VOT,P8_PV-PROV(2017)09-12(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-12/pv_provisoire/P8_PV-PROV(2017)09-12(VOT)_EN,pdf|xml|docx
2017-07-06,VOT,P8_PV-PROV(2017)07-06(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-06/pv_provisoire/P8_PV-PROV(2017)07-06(VOT)_EN,pdf|xml|docx
2017-07-05,VOT,P8_PV-PROV(2017)07-05(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-05/pv_provisoire/P8_PV-PROV(2017)07-05(VOT)_EN,pdf|xml|docx
2017-07-04,VOT,P8_PV-PROV(2017)07-04(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-04/pv_provisoire/P8_PV-PROV(2017)07-04(VOT)_EN,pdf|xml|docx
2017-05-18,VOT,P8_PV(2017)05-18(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-18/liste_presence/P8_PV(2017)05-18(VOT)_EN,xml|docx
2017-05-17,VOT,P8_PV(2017)05-17(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-17/liste_presence/P8_PV(2017)05-17(VOT)_EN,xml|docx
2017-05-16,VOT,P8_PV(2017)05-16(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-16/liste_presence/P8_PV(2017)05-16(VOT)_EN,xml|docx
2017-06-15,VOT,P8_PV-PROV(2017)06-15(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-15/pv_provisoire/P8_PV-PROV(2017)06-15(VOT)_EN,pdf|docx
2017-06-14,VOT,P8_PV-PROV(2017)06-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-14/pv_provisoire/P8_PV-PROV(2017)06-14(VOT)_EN,pdf|docx
2017-06-13,VOT,P8_PV-PROV(2017)06-13(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-13/pv_provisoire/P8_PV-PROV(2017)06-13(VOT)_EN,pdf|docx
2017-04-27,VOT,P8_PV(2017)04-27(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-27/liste_presence/P8_PV(2017)04-27(VOT)_EN,docx
2017-04-06,VOT,P8_PV(2017)04-06(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-06/liste_presence/P8_PV(2017)04-06(VOT)_EN,docx
2017-04-05,VOT,P8_PV(2017)04-05(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-05/liste_presence/P8_PV(2017)04-05(VOT)_EN,docx
2017-04-04,VOT,P8_PV(2017)04-04(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-04/liste_presence/P8_PV(2017)04-04(VOT)_EN,docx
2017-03-16,VOT,P8_PV(2017)03-16(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-16/liste_presence/P8_PV(2017)03-16(VOT)_EN,pdf|docx
2017-06-01,VOT,P8_PV-PROV(2017)06-01(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-01/pv_provisoire/P8_PV-PROV(2017)06-01(VOT)_EN,pdf|docx
2017-05-18,VOT,P8_PV-PROV(2017)05-18(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-18/pv_provisoire/P8_PV-PROV(2017)05-18(VOT)_EN,pdf|docx
2017-05-17,VOT,P8_PV-PROV(2017)05-17(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-17/pv_provisoire/P8_PV-PROV(2017)05-17(VOT)_EN,pdf|docx
2017-03-15,VOT,P8_PV(2017)03-15(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-15/liste_presence/P8_PV(2017)03-15(VOT)_EN,pdf|docx
2017-03-14,VOT,P8_PV(2017)03-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-14/liste_presence/P8_PV(2017)03-14(VOT)_EN,pdf|docx
2017-05-16,VOT,P8_PV-PROV(2017)05-16(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-16/pv_provisoire/P8_PV-PROV(2017)05-16(VOT)_EN,pdf|docx
