mep,mepid
Verhofstadt,6159
Viegas,6678
Vieu,6747
Vilimsky,6610
Viotti,6425
Virkkunen,6356
Vistisen,6513
Voigt,6469
Voss,5934
Vozemberg,6664
Vozemberg-Vrionidi,6664
Väyrynen,4550
Vălean,5714
Waitz,6757
Ward,6582
Wałęsa,5947
Weber Manfred,5351
Weber Renate,5770
Weidenholzer,6235
Wenta,6542
Werner,6463
Westphal,6011
Wieland,4643
Wierinck,6729
Wikström,5864
Willmott,5698
Winberg,6607
Winkler Hermann,5937
Winkler Iuliu,5782
Wiśniewska,6515
Wojciechowski,5108
Woolfe,6585
Wölken,6735
Zagorakis,6665
Zahradil,5052
Zala,5845
Zalba Bidegain,5936
Zammit Dimech,6749
Zanni,6414
Zanonato,6434
Zarianopoulos,6673
Zdechovský,6344
Zdrojewski,6532
Zeller,5935
Zemke,5957
Zijlstra,6228
Zimmer,5368
Zoană,6764
Zoffoli,6714
Zorrinho,6373
Zovko,6734
Zuber,6253
Zullo,6695
Zver,6094
Zwiefka,5420
Záborská,5189
Zīle,5598
Złotowski,6522
de Graaff,6630
de Grandes Pascual,5511
de Jong,5922
de Lange,5727
de Sarnez,4758
del Castillo Vera,5508
dos Santos,5013
in 't Veld,5385
van Baalen,6097
van Dalen,5981
van Miltenburg,6626
van Nieuwenhuizen,6621
van Nistelrooij,5295
van de Camp,5928
von Storch,6462
von Weizsäcker,6478
Łukacijewska,5964
Łybacka,6521
Šadurskis,6246
Škripek,6545
Škrlec,6390
Šojdrová,6341
Šoltes,6612
Štefanec,6547
Štětina,6333
Šuica,6301
Šulin,6680
Ţurcanu,6717
Żółtek,6541
Ždanoka,5602
Žitňanská,6540
Țapardel,6427
Țurcanu,6717
