date,code,status,reference,name,baseurl,extensions
2014-11-26,LP,final,P8_PV(2014)11-26(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/11-26/liste_presence/xml/P8_PV(2014)11-26(LP)_FR,pdf|xml
2014-11-25,LP,final,P8_PV(2014)11-25(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/11-25/liste_presence/xml/P8_PV(2014)11-25(LP)_FR,pdf|xml
2014-11-24,LP,final,P8_PV(2014)11-24(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/11-24/liste_presence/xml/P8_PV(2014)11-24(LP)_FR,pdf|xml
2014-11-13,LP,final,P8_PV(2014)11-13(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/11-13/liste_presence/xml/P8_PV(2014)11-13(LP)_FR,pdf|xml
2014-11-12,LP,final,P8_PV(2014)11-12(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/11-12/liste_presence/xml/P8_PV(2014)11-12(LP)_FR,pdf|xml
2014-10-23,LP,final,P8_PV(2014)10-23(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/10-23/liste_presence/xml/P8_PV(2014)10-23(LP)_FR,pdf|xml
2014-10-22,LP,final,P8_PV(2014)10-22(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/10-22/liste_presence/xml/P8_PV(2014)10-22(LP)_FR,pdf|xml
2014-10-21,LP,final,P8_PV(2014)10-21(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/10-21/liste_presence/xml/P8_PV(2014)10-21(LP)_FR,pdf|xml
2014-10-20,LP,final,P8_PV(2014)10-20(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/10-20/liste_presence/xml/P8_PV(2014)10-20(LP)_FR,pdf|xml
2014-09-18,LP,final,P8_PV(2014)09-18(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/09-18/liste_presence/xml/P8_PV(2014)09-18(LP)_FR,pdf|xml
