name,id,first,last
Duda,124899,2014-07-01,2015-04-29
Duncan,124960,2014-07-01,2017-06-15
Durand,124693,2014-07-01,2018-07-05
Dzhambazki,124873,2014-07-01,2018-07-05
Díaz de Mera García Consuegra,28397,2014-07-01,2018-07-05
Dăncilă,95281,2014-07-01,2017-12-14
Echenique,125036,2014-07-03,2015-03-12
Echenique Robba,125036,2014-07-01,2014-07-02
Eck,124863,2014-07-01,2018-07-05
Edouard Martin,124947,2014-07-01,2018-07-05
Ehler,28226,2014-07-01,2018-07-05
Eickhout,96725,2014-07-01,2018-07-05
Elisa Ferreira,28308,2014-07-01,2016-06-09
Elissen,188445,2017-07-03,2018-07-05
Elsi Katainen,191693,2018-03-01,2018-07-05
Emil Radev,124850,2017-10-23,2018-07-04
Engel,96876,2014-07-01,2018-07-05
Engström,128588,2014-10-20,2018-06-14
Epitideios,125071,2014-07-01,2018-07-05
Erdős,124711,2014-07-01,2018-07-05
Eriksson,124937,2014-07-01,2016-05-11
Ernst,96852,2014-07-01,2018-07-05
Ertug,96842,2014-07-01,2018-07-05
Estaràs Ferragut,96811,2014-07-01,2018-07-03
Etheridge,124951,2014-07-01,2018-07-03
Evans,4550,2014-07-01,2018-03-01
Evi,124779,2014-07-01,2018-07-05
Fajon,96911,2014-07-01,2018-07-05
Farage,4525,2014-07-01,2018-07-03
Faria,125101,2014-07-01,2018-07-05
Federley,124989,2014-07-01,2018-07-05
Ferber,1917,2014-07-01,2018-07-05
Fernandes,96899,2014-07-01,2018-07-05
Fernández,125046,2014-07-03,2018-07-05
Fernández Álvarez,125046,2014-07-01,2014-07-02
Ferrand,124767,2014-07-01,2017-12-14
Ferrandino,192634,2018-04-17,2018-07-05
Ferrara,124833,2014-07-01,2018-07-05
Ferreira,96706,2016-05-12,2018-07-05
Finch,124941,2014-07-01,2018-07-05
Fisas Ayxelà,96729,2014-07-01,2018-07-04
Fitto,4465,2014-07-01,2018-07-04
Fjellner,28126,2014-07-01,2018-07-04
Flack,188623,2017-07-03,2018-07-05
Flanagan,124985,2014-07-01,2018-07-05
Flašíková Beňová,23868,2014-07-01,2017-07-06
Fleckenstein,96840,2014-07-01,2018-07-05
Florenz,1038,2014-07-01,2018-07-04
Fontana,96993,2014-07-15,2018-03-15
Ford,96949,2014-07-01,2017-05-17
Forenza,125193,2014-07-01,2018-06-14
Foster,4553,2014-07-01,2018-07-05
Fotyga,28353,2014-07-01,2018-07-05
Fountoulis,125070,2014-07-01,2018-07-05
Fox,96957,2014-07-01,2018-07-03
Franz,193273,2018-07-03,2018-07-05
Freund,125018,2014-07-01,2018-07-05
Frunzulică,124790,2014-07-01,2018-07-05
GOSIEWSKA,124900,2014-07-01,2014-07-03
Gabelic,192465,2018-04-16,2018-07-05
Gahler,2341,2014-07-01,2018-07-05
Gambús,125006,2014-07-01,2018-07-05
García Pérez,28298,2014-07-01,2018-07-05
Gardiazabal Rubial,96991,2014-07-01,2018-07-05
Gardini,58758,2014-07-01,2018-07-05
Gasbarra,124817,2014-07-01,2018-07-05
Gebhardt,1913,2014-07-01,2018-07-05
Geier,96833,2014-07-01,2018-07-05
Gentile,124847,2014-07-01,2018-07-05
Georg Mayer,38511,2016-09-12,2018-07-04
Gerbrandy,96940,2014-07-01,2018-06-14
Gericke,124815,2014-07-01,2018-07-05
Geringer de Oedenberg,28377,2014-07-01,2018-07-05
Giegold,96730,2014-07-01,2018-07-05
Gierek,28379,2014-07-01,2018-07-05
Gieseke,124807,2014-07-01,2018-07-05
Gill,124965,2017-02-01,2017-03-15
Gill CBE,4533,2017-02-01,2017-03-15
Giménez Barbat,135491,2015-12-14,2018-07-05
Girauta Vidal,125052,2014-07-01,2015-11-26
Girling,96956,2014-07-01,2018-07-05
Giuffrida,124864,2014-07-01,2018-07-05
Glezos,1654,2014-07-01,2015-07-07
Gloanec Maurin,193080,2018-06-11,2018-07-05
Goddyn,21331,2014-07-01,2018-07-05
Goerens,840,2014-07-01,2018-07-05
Gollnisch,1164,2014-07-01,2018-07-05
Gomes,28306,2014-07-01,2018-07-05
González Peñas,127330,2014-09-15,2018-07-05
González Pons,125027,2014-07-01,2018-07-04
Gosiewska,124900,2014-07-14,2018-07-05
Goulard,97137,2014-07-01,2017-04-26
Grammatikakis,125112,2014-07-01,2018-07-05
