date,code,status,reference,name,baseurl,extensions
2018-02-06,minute,final,P8_PV(2018)02-06,"Procès-verbal - Séance plénière - Mardi, 06 février 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/02-06/liste_presence/P8_PV(2018)02-06_FR,pdf|xml|docx
2018-02-05,minute,final,P8_PV(2018)02-05,Procès-verbal - Séance plénière - 05/02/2018,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/02-05/liste_presence/P8_PV(2018)02-05_FR,pdf|xml|docx
2018-01-18,minute,final,P8_PV(2018)01-18,"Procès-verbal - Séance plénière - Jeudi, 18 janvier 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/01-18/liste_presence/P8_PV(2018)01-18_FR,pdf|xml|docx
2018-01-17,minute,final,P8_PV(2018)01-17,"Procès-verbal - Séance plénière - Mercredi, 17 janvier 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/01-17/liste_presence/P8_PV(2018)01-17_FR,pdf|xml|docx
2018-01-16,minute,final,P8_PV(2018)01-16,"Procès-verbal - Séance plénière - Mardi, 16 janvier 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/01-16/liste_presence/P8_PV(2018)01-16_FR,pdf|xml|docx
2018-01-15,minute,final,P8_PV(2018)01-15,"Procès-verbal - Séance plénière - Lundi, 15 janvier 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/01-15/liste_presence/P8_PV(2018)01-15_FR,pdf|xml|docx
2017-12-14,minute,final,P8_PV(2017)12-14,Procès-verbal définitif - Séance plénière - 14/12/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/12-14/liste_presence/P8_PV(2017)12-14_FR,pdf|xml|docx
2017-12-13,minute,final,P8_PV(2017)12-13,Procès-verbal définitif - Séance plénière - 13/12/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/12-13/liste_presence/P8_PV(2017)12-13_FR,pdf|xml|docx
2017-12-12,minute,final,P8_PV(2017)12-12,Procès-verbal définitif - Séance plénière - 12/12/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/12-12/liste_presence/P8_PV(2017)12-12_FR,pdf|xml|docx
2017-12-11,minute,final,P8_PV(2017)12-11,Procès-verbal - Séance plénière - 11/12/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/12-11/liste_presence/P8_PV(2017)12-11_FR,pdf|xml|docx
